Node1,Relationship,Node2
9A991,ChildIs,9A991.b
9A991,ChildIs,9A991.c
9A991,ChildIs,9A991.d
9A991,ChildIs,9A991.e
9A,ChildIs,9A992
9,ChildIs,9B
9B,ChildIs,9B001
9B001,ChildIs,9B001.a
9B001,ChildIs,9B001.b
9B001.b,ChildIs,9B001.b.1
9B001.b,ChildIs,9B001.b.2
9B001.b,ChildIs,9B001.b.3
9B001,ChildIs,9B001.c
9B,ChildIs,9B002
9B002,ChildIs_and,9B002.a
9B002,ChildIs_and,9B002.b
9B,ChildIs,9B003
9B,ChildIs,9B004
9B,ChildIs,9B005
9B005,ChildIs_or,9B005.a
9B005,ChildIs_or,9B005.b
9B005,ChildIs_or,9B005.c
9B,ChildIs,9B006
9B,ChildIs,9B007
9B,ChildIs,9B008
9B,ChildIs,9B009
9B009,ChildIs_and,9B009.a
9B009,ChildIs_and,9B009.b
9B,ChildIs,9B010
9B,ChildIs,9B104
9B,ChildIs,9B105
9B,ChildIs,9B106
9B106,ChildIs,9B106.a
9B106.a,ChildIs_and,9B106.a.1
9B106.a,ChildIs_and,9B106.a.2
9B106.a.1,ChildIs_or,9B106.a.1.a
9B106.a.1,ChildIs_or,9B106.a.1.b
9B106,ChildIs,9B106.b
9B106.b,ChildIs_and,9B106.b.1
9B106.b,ChildIs_and,9B106.b.2
9B106.b.2,ChildIs_or,9B106.b.2.a
9B106.b.2,ChildIs_or,9B106.b.2.b
9B,ChildIs,9B115
9B,ChildIs,9B116
9B,ChildIs,9B117
9B117,ChildIs_or,9B117.a
9B117,ChildIs_or,9B117.b
9B,ChildIs,9B515
9B515,ChildIs,9B515.a
9B515,ChildIs,9B515.b
9B,ChildIs,9B604
9B604,ChildIs,9B604.a
9B604,ChildIs,9B604.b
9B604,ChildIs,9B604.c
9B604,ChildIs,9B604.d
9B604,ChildIs,9B604.x
9B,ChildIs,9B610
9B610,ChildIs,9B610.a
9B610,ChildIs,9B610.b
9B610,ChildIs,9B610.c
9B,ChildIs,9B619
9B619,ChildIs,9B619.a
9B619,ChildIs,9B619.b
9B619,ChildIs,9B619.y
9B,ChildIs,9B620
9B620,ChildIs,9B620.a
9B,ChildIs,9B990
9B,ChildIs,9B991
9B991,ChildIs,9B991.a
9B991,ChildIs,9B991.b
9B991,ChildIs,9B991.c
9B991,ChildIs,9B991.d
9B991,ChildIs,9B991.e
9B991,ChildIs,9B991.f
9,ChildIs,9C
9C,ChildIs,9C110
9C,ChildIs,9C610
9C610,ChildIs,9C610.a
9C,ChildIs,9C619
9C619,ChildIs,9C619.a
9C619,ChildIs,9C619.b
9C619.b,ChildIs,9C619.b.1
9C619.b,ChildIs,9C619.b.2
9C619.b,ChildIs,9C619.b.3
9,ChildIs,9D
9D,ChildIs,9D001
9D,ChildIs,9D002
9D,ChildIs,9D003
9D,ChildIs,9D004
9D004,ChildIs,9D004.a
9D004,ChildIs,9D004.b
9D004.b,ChildIs_and,9D004.b.1
9D004.b,ChildIs_and,9D004.b.2
9D004.b.1,ChildIs_or,9D004.b.1.a
9D004.b.1,ChildIs_or,9D004.b.1.b
9D004.b.2,ChildIs_and,9D004.b.2.a
9D004.b.2,ChildIs_and,9D004.b.2.b
9D004,ChildIs,9D004.c
9D004,ChildIs,9D004.e
9D004,ChildIs,9D004.f
9D004,ChildIs,9D004.g
9D004.g,ChildIs_and,9D004.g.1
9D004.g,ChildIs_and,9D004.g.2
9D,ChildIs,9D005
9D,ChildIs,9D018
9D,ChildIs,9D101
9D,ChildIs,9D103
9D,ChildIs,9D104
9D,ChildIs,9D105
9D,ChildIs,9D515
9D515,ChildIs,9D515.a
9D515,ChildIs,9D515.b
9D515.b,ChildIs,9D515.b.1
9D515.b,ChildIs,9D515.b.2
9D515.b,ChildIs,9D515.b.3
9D515.b,ChildIs,9D515.b.4
9D515.b,ChildIs,9D515.b.5
9D515.b,ChildIs,9D515.b.6
9D515,ChildIs,9D515.d
9D515,ChildIs,9D515.e
9D515,ChildIs,9D515.y
9D,ChildIs,9D604
9D604,ChildIs,9D604.a
9D,ChildIs,9D610
9D610,ChildIs,9D610.a
9D610,ChildIs,9D610.b
9D610.b,ChildIs_or,9D610.b.1
9D610.b,ChildIs_or,9D610.b.2
9D610.b,ChildIs_or,9D610.b.3
9D610.b,ChildIs_or,9D610.b.4
